pdb,force
CYP17-LjG_11_KP_0_docking.pdb,1.5050201180893106e-06
CYP17-LjG_13_21_0_docking.pdb,8.092537612361553e-06
CYP17-LjG_13_35_0_docking.pdb,2.9167580248117523e-05
CYP17-LjG_14_23_0_docking.pdb,2.395025971461988e-06
CYP17-LjG_16_8M_0_docking.pdb,4.004463176176912e-07
CYP17-LjG_18_30_0_docking.pdb,4.391533547579111e-05
CYP17-LjG_19_32_0_docking.pdb,6.9379264090506726e-06
CYP17-LjG_19_32_1_docking.pdb,3.21017331305449e-05
CYP17-LjG_19_32_2_docking.pdb,2.464389054603442e-05
CYP17-LjG_19_32_3_docking.pdb,6.828499234602958e-06
CYP17-LjG_20_5M_0_docking.pdb,1.2205766069944875e-06
CYP17-LjG_24_9M_0_docking.pdb,2.2728399886225153e-06
CYP17-LjG_25_5j_0_docking.pdb,6.729319513544336e-06
CYP17-LjG_26_44_0_docking.pdb,8.034683821054358e-06
CYP17-LjG_27_38-I_0_docking.pdb,2.9292554639799193e-05
CYP17-LjG_31_2J-III_0_docking.pdb,5.22497791408024e-06
CYP17-LjG_31_2JII_0_docking.pdb,5.367057446769524e-06
CYP17-LjG_31_46II_0_docking.pdb,3.0086371089989798e-05
CYP17-LjG_40_58_0_docking.pdb,4.668766624873503e-06
CYP17-LjG_40_58_1_docking.pdb,3.907199982097767e-07
CYP17-LjG_40_58_2_docking.pdb,4.109444526425916e-07
CYP17-LjG_40_58_3_docking.pdb,4.127808174316091e-07
CYP17-LjG_40_58_4_docking.pdb,4.0011409976847323e-07
CYP17-LjG_42_66_0_docking.pdb,2.113408893947651e-06
CYP17-LjG_6KP_0_docking.pdb,5.173881511488262e-06
CYP17-LjG_6_17_0_docking.pdb,3.440090232559666e-05
CYP17-LjG_7_15_0_docking.pdb,1.9245512117956507e-05
CYP17-LjG_9_19_0_docking.pdb,1.4816859118573817e-06
CYP17-LjG_9_19_1_docking.pdb,5.462269659458106e-06
CYP17-LjG_BV_49_0_docking.pdb,4.0133151758595104e-06
CYP17-M10_0_docking.pdb,6.336445206613046e-06
CYP17-M11_0_docking.pdb,3.428487799152765e-05
CYP17-M12_0_docking.pdb,2.3288277114739075e-05
CYP17-M12_1_docking.pdb,4.913311752977891e-06
CYP17-M12_2_docking.pdb,6.132750589208075e-06
CYP17-M13_0_docking.pdb,1.5520873766604533e-06
CYP17-M14_0_docking.pdb,2.6271589951608242e-05
CYP17-M1_0_docking.pdb,2.6320305738415737e-05
CYP17-M2_0_docking.pdb,3.566301990503932e-06
CYP17-M3_0_docking.pdb,2.284348848798776e-05
CYP17-M4_0_docking.pdb,1.7973559340466338e-05
CYP17-M5_0_docking.pdb,1.2942668000811766e-06
CYP17-M6_0_docking.pdb,1.7448422911083664e-06
CYP17-M7_0_docking.pdb,1.8196509675747245e-05
CYP17-M8_0_docking.pdb,2.0461822889763474e-05
CYP17-M9_0_docking.pdb,1.609993379931673e-05
