pdb,x,y,z,length
CYP17-LjG_11_KP_0_docking.pdb,3.131535804579922e-07,1.999770045134782e-06,1.1902184172449571e-06,2.3481408133076514e-06
CYP17-LjG_13_21_0_docking.pdb,3.9219421636878376e-07,-7.37176175837421e-06,-1.8306821912609073e-06,7.6057928588005455e-06
CYP17-LjG_13_35_0_docking.pdb,5.673842358902406e-06,1.9742432282358972e-05,4.95309689969198e-06,2.113029314597749e-05
CYP17-LjG_14_23_0_docking.pdb,-9.355757161159661e-07,1.200364773182929e-06,-3.5105194768271196e-06,3.826215428653614e-06
CYP17-LjG_16_8M_0_docking.pdb,1.0632385648025093e-07,1.5340030759243116e-07,-2.5493440046244584e-07,3.1595563828713706e-07
CYP17-LjG_18_30_0_docking.pdb,-9.679918337156279e-07,-5.4781034676019275e-05,1.9618963065913314e-05,5.819624111699172e-05
CYP17-LjG_19_32_0_docking.pdb,-8.084551036004433e-07,6.0841624241587935e-06,3.5265674478328295e-06,7.078651709343918e-06
CYP17-LjG_19_32_1_docking.pdb,3.3923995898858017e-07,-1.880129205775307e-05,2.9943330880366408e-05,3.535826255632208e-05
CYP17-LjG_19_32_2_docking.pdb,-2.8035889737049917e-07,9.661691230563557e-06,-1.6168520030983368e-05,1.8837407426139988e-05
CYP17-LjG_19_32_3_docking.pdb,-1.4237009521604692e-06,6.869109105620129e-06,3.53798897966235e-06,7.856777349925875e-06
CYP17-LjG_20_5M_0_docking.pdb,1.9024585599876228e-07,-1.742902607049989e-06,6.230791713679968e-07,1.860680154454005e-06
CYP17-LjG_24_9M_0_docking.pdb,8.067085850278551e-07,1.0308945499769733e-06,1.5496450867497142e-06,2.02852710339729e-06
CYP17-LjG_25_5j_0_docking.pdb,1.6440298427981823e-06,9.971807173815327e-06,-4.915753916407072e-06,1.123852343515096e-05
CYP17-LjG_26_44_0_docking.pdb,-1.4706142745464725e-07,1.430938462806547e-05,-2.623682780678541e-06,1.4548670964421129e-05
CYP17-LjG_27_38-I_0_docking.pdb,-1.4217676975219346e-06,1.0984060785396314e-05,-1.7172506973989883e-05,2.0434431983657607e-05
CYP17-LjG_31_2J-III_0_docking.pdb,-2.6111843090809452e-06,-5.372299397693129e-06,-1.0800050902866947e-06,6.070114933795707e-06
CYP17-LjG_31_2JII_0_docking.pdb,-2.748546406496098e-06,-5.920214254220121e-06,-1.3476340303930318e-06,6.664800195385236e-06
CYP17-LjG_31_46II_0_docking.pdb,4.109192168473052e-06,-1.6871876456018084e-05,2.9993051679960156e-05,3.4657305499726005e-05
CYP17-LjG_40_58_0_docking.pdb,-3.21599162918967e-06,-4.21853611222635e-06,-4.593751682709585e-06,7.017207679096649e-06
CYP17-LjG_40_58_1_docking.pdb,7.061834959281123e-08,6.109105440626348e-07,1.0000349438686551e-07,6.230564525271372e-07
CYP17-LjG_40_58_2_docking.pdb,6.759863578912073e-08,5.579586148802147e-07,9.411313433531475e-08,5.698637324255817e-07
CYP17-LjG_40_58_3_docking.pdb,3.28704133474588e-08,6.186652349039317e-07,2.774680335355287e-08,6.201588683947933e-07
CYP17-LjG_40_58_4_docking.pdb,5.829039245274306e-09,6.043389498833006e-07,-1.2561640217658739e-08,6.044975920957265e-07
CYP17-LjG_42_66_0_docking.pdb,-4.23233756253318e-07,-4.636869210213489e-07,2.186494486992545e-06,2.274838568955464e-06
CYP17-LjG_6KP_0_docking.pdb,2.9261082260957747e-06,5.569702665386448e-06,2.1562472471106667e-06,6.650796893779766e-06
CYP17-LjG_6_17_0_docking.pdb,-2.8914810467530303e-06,-1.6094866657108293e-05,1.196092866664429e-05,2.0260039731510436e-05
CYP17-LjG_7_15_0_docking.pdb,-6.033225679887885e-06,-3.6464102959122427e-06,-2.1531952188526337e-05,2.2656590325986334e-05
CYP17-LjG_9_19_0_docking.pdb,-2.4727245451883624e-07,-2.3571155138487864e-06,1.1401981386701093e-07,2.372791126573232e-06
CYP17-LjG_9_19_1_docking.pdb,1.671250405158036e-06,4.760924903329523e-06,-8.257107910722234e-07,5.112854600159997e-06
CYP17-LjG_BV_49_0_docking.pdb,-1.395060832870626e-06,-3.151225989734793e-06,-8.691792789513574e-07,3.554137389683763e-06
CYP17-M10_0_docking.pdb,-6.11486146112754e-07,2.4840842733402384e-07,-7.035515241904377e-06,7.066406213396396e-06
CYP17-M11_0_docking.pdb,4.510177347809114e-06,-2.5034527763832346e-05,3.4505588940671956e-05,4.2868460996511245e-05
CYP17-M12_0_docking.pdb,-8.44224537950104e-07,-1.9333821673626277e-05,-5.378435989789728e-06,2.0085739948389347e-05
CYP17-M12_1_docking.pdb,-1.0275882269720145e-06,-4.501467260973806e-06,2.659460605397969e-06,5.32840274167543e-06
CYP17-M12_2_docking.pdb,-2.3088632173328847e-06,-1.0668380076738942e-05,3.7610388162239196e-07,1.0921842195705108e-05
CYP17-M13_0_docking.pdb,4.829466225338942e-07,2.6380750207724278e-06,-1.3292545948970354e-06,2.9932582637479213e-06
CYP17-M14_0_docking.pdb,1.0471670804030172e-05,5.1385810707939735e-05,8.942433055136266e-06,5.319891484312237e-05
CYP17-M1_0_docking.pdb,1.514163552410648e-07,3.30675152104627e-05,8.135582055528764e-06,3.4053945211811484e-05
CYP17-M2_0_docking.pdb,5.922931648153713e-07,8.566263643609346e-07,2.209336663757125e-06,2.442496349030374e-06
CYP17-M3_0_docking.pdb,1.5164273135770272e-05,-3.5194114999976476e-05,9.179721312554314e-06,3.940619486507137e-05
CYP17-M4_0_docking.pdb,-4.372452198719643e-06,-2.1257657632216326e-05,-6.83311491793883e-06,2.27529735577654e-05
CYP17-M5_0_docking.pdb,9.008602650842496e-07,-2.2172322559346877e-06,-1.780189893171442e-08,2.393320914873403e-06
CYP17-M6_0_docking.pdb,-4.816599309470704e-07,1.7527932717490747e-07,9.213023413660176e-07,1.0542851302286924e-06
CYP17-M7_0_docking.pdb,4.3823909606045e-06,-8.156741272642841e-06,-5.203178949014495e-07,9.274077281982174e-06
CYP17-M8_0_docking.pdb,2.473331410443083e-06,7.070912600416174e-06,-9.127480522868502e-07,7.5464085680250595e-06
CYP17-M9_0_docking.pdb,-2.993604779992753e-06,-2.2371793971428825e-05,1.1808774076515515e-05,2.547363304024456e-05
